Table_Name,Table_ID,Field_ID,Field_Name,Field_Type,Is_Linked_Field,Linked_Table_ID,Linked_Table
Contact_List,tblw5iX3qNcrcAogn,fldBGuCubqDli4Tho,Status,singleSelect,,,
Contact_List,tblw5iX3qNcrcAogn,fldfjai1tIYy3ur8U,Created,createdTime,,,
Contact_List,tblw5iX3qNcrcAogn,fldG7S1I4uLN2o0xx,Name,singleLineText,,,
Contact_List,tblw5iX3qNcrcAogn,fldHiFrKskIFh6C0k,Consent,checkbox,,,
Contact_List,tblw5iX3qNcrcAogn,fldiP3lKmgHsmHbU5,Phone_Number,phoneNumber,,,
Contact_List,tblw5iX3qNcrcAogn,fldlE7WgD3b0ochcd,Handled_by,multipleRecordLinks,checked,tbldH5vECddqn4Tvv,Users
Contact_List,tblw5iX3qNcrcAogn,fldmiktTFCMW8hZ8n,Notes,multilineText,,,
Contact_List,tblw5iX3qNcrcAogn,fldNyObbPLML9Zo9h,Email,email,,,
Contact_List,tblw5iX3qNcrcAogn,fldToiqXhzSKA3TWN,Referral_Source,singleLineText,,,
Contact_List,tblw5iX3qNcrcAogn,fldToSbdTIH4U5OS6,Send_Copy_Requested,checkbox,,,
Contact_List,tblw5iX3qNcrcAogn,fldZ4foOxTl4NM3s4,Interested_Role,multipleSelects,,,
Schema_Registry,tblZeCbkIR8BkC3DN,fld1hOAt9Ohj46riq,Schema_AT_ID,formula,,,
Schema_Registry,tblZeCbkIR8BkC3DN,fld7pvyD3Dm5IyXHR,Table_Name,singleLineText,,,
Schema_Registry,tblZeCbkIR8BkC3DN,fldc4vNOAg4GvdGYX,Linked_Table_ID,singleLineText,,,
Schema_Registry,tblZeCbkIR8BkC3DN,flddiwApKkp4XQ9y2,Field_Type,singleLineText,,,
Schema_Registry,tblZeCbkIR8BkC3DN,fldhfjlqGvJRIoEap,Linked_Table,singleLineText,,,
Schema_Registry,tblZeCbkIR8BkC3DN,fldm2TD6ScysrfB7M,Table_ID,singleLineText,,,
Schema_Registry,tblZeCbkIR8BkC3DN,fldRDy0m7IpxuP4ns,Is_Linked_Field,checkbox,,,
Schema_Registry,tblZeCbkIR8BkC3DN,fldrScwJdLGzlUpDx,_probe_DELETE,singleLineText,,,
Schema_Registry,tblZeCbkIR8BkC3DN,fldTxtFmRbRynSrQV,Field_Name,singleLineText,,,
Schema_Registry,tblZeCbkIR8BkC3DN,fldvtmq2rWC5PJVWC,Field_ID,singleLineText,,,
